월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡),,
1,1 ,1,2.93 ,1014.4 ,1 ,0.00 ,0.00 ,WNW,38 ,0.00 ,0,5.7 ,-10.36 ,0.0018 ,1.2786 ,7.40 ,0.00 ,,
1,1 ,2,2.45 ,1014.5 ,1 ,0.00 ,0.00 ,NNW,39 ,0.00 ,0,5.8 ,-10.45 ,0.0018 ,1.2808 ,6.88 ,0.00 ,,
1,1 ,3,1.98 ,1014.5 ,1 ,0.00 ,0.00 ,NW,40 ,0.00 ,0,6.0 ,-10.53 ,0.0017 ,1.2830 ,6.35 ,0.00 ,,
1,1 ,4,1.50 ,1014.6 ,1 ,0.00 ,0.00 ,NW,41 ,0.00 ,0,6.1 ,-10.61 ,0.0017 ,1.2852 ,5.82 ,0.00 ,,
1,1 ,5,1.03 ,1014.6 ,1 ,0.00 ,0.00 ,NNW,42 ,0.00 ,0,6.3 ,-10.69 ,0.0017 ,1.2875 ,5.28 ,0.00 ,,
1,1 ,6,0.55 ,1014.7 ,1 ,0.00 ,0.00 ,NNW,43 ,0.00 ,0,6.4 ,-10.77 ,0.0017 ,1.2897 ,4.75 ,0.00 ,,
1,1 ,7,0.08 ,1014.7 ,1 ,0.00 ,0.00 ,NNW,44 ,0.00 ,0,6.6 ,-10.85 ,0.0017 ,1.2919 ,4.21 ,0.00 ,,
1,1 ,8,-0.40 ,1014.8 ,1 ,0.00 ,0.00 ,NNW,45 ,5.56 ,Ci,6.7 ,-10.93 ,0.0016 ,1.2942 ,3.68 ,0.44 ,,
1,1 ,9,1.00 ,1015.1 ,2 ,0.00 ,0.00 ,NNW,40 ,100.00 ,Ci,1.5 ,-11.70 ,0.0016 ,1.2876 ,5.05 ,11.28 ,,
1,1 ,10,4.00 ,1014.8 ,4 ,0.00 ,0.00 ,SSE,35 ,222.22 ,Ci,0.7 ,-11.70 ,0.0018 ,1.2736 ,8.41 ,53.50 ,,
1,1 ,11,5.90 ,1014.5 ,5 ,0.00 ,0.00 ,SE,30 ,308.33 ,Ci,0.7 ,-11.70 ,0.0017 ,1.2650 ,10.23 ,92.65 ,,
1,1 ,12,7.10 ,1014.2 ,7 ,0.00 ,0.00 ,WNW,25 ,380.56 ,Ci,2.5 ,-11.70 ,0.0016 ,1.2595 ,11.03 ,143.86 ,,
1,1 ,13,8.90 ,1013.5 ,7 ,0.00 ,0.00 ,ENE,24 ,491.67 ,Ci,1.5 ,-11.53 ,0.0017 ,1.2515 ,13.12 ,282.54 ,,
1,1 ,14,10.10 ,1012.9 ,7 ,0.00 ,0.00 ,SW,22 ,463.89 ,Ci,3.3 ,-11.37 ,0.0017 ,1.2462 ,14.42 ,281.05 ,,
1,1 ,15,9.50 ,1012.2 ,7 ,0.00 ,0.00 ,WSW,21 ,355.56 ,Ci,4.5 ,-11.20 ,0.0015 ,1.2488 ,13.40 ,209.20 ,,
1,1 ,16,7.70 ,1012.5 ,6 ,0.00 ,0.00 ,WSW,26 ,150.00 ,Ci,6.3 ,-9.83 ,0.0017 ,1.2569 ,12.02 ,45.51 ,,
1,1 ,17,7.40 ,1012.8 ,6 ,0.00 ,0.00 ,WSW,32 ,0.00 ,AcCi,3.0 ,-8.47 ,0.0020 ,1.2582 ,12.48 ,0.00 ,,
1,1 ,18,5.90 ,1013.1 ,5 ,0.00 ,0.00 ,W,37 ,0.00 ,AcCi,2.3 ,-7.10 ,0.0021 ,1.2650 ,11.24 ,0.00 ,,
1,1 ,19,4.80 ,1013.1 ,5 ,0.00 ,0.00 ,WNW,36 ,0.00 ,AcCi,2.0 ,-8.17 ,0.0019 ,1.2700 ,9.56 ,0.00 ,,
1,1 ,20,4.40 ,1013.1 ,6 ,0.00 ,0.00 ,NW,34 ,0.00 ,Ci,3.8 ,-9.23 ,0.0018 ,1.2718 ,8.85 ,0.00 ,,
1,1 ,21,4.30 ,1013.1 ,6 ,0.00 ,0.00 ,NW,33 ,0.00 ,Ci,4.0 ,-10.30 ,0.0017 ,1.2723 ,8.55 ,0.00 ,,
1,1 ,22,3.80 ,1012.9 ,5 ,0.00 ,0.00 ,NNW,35 ,0.00 ,Ci,4.2 ,-10.00 ,0.0017 ,1.2746 ,8.15 ,0.00 ,,
1,1 ,23,3.30 ,1012.8 ,5 ,0.00 ,0.00 ,NNW,37 ,0.00 ,AcCi,6.0 ,-9.70 ,0.0018 ,1.2769 ,7.73 ,0.00 ,,
1,1 ,24,3.00 ,1012.6 ,4 ,0.00 ,0.00 ,NNW,39 ,0.00 ,AcCi,5.7 ,-9.40 ,0.0018 ,1.2782 ,7.57 ,0.00 ,,
1,2 ,1,2.30 ,1013.0 ,3 ,0.00 ,0.00 ,NNW,41 ,0.00 ,0,5.5 ,-9.40 ,0.0018 ,1.2815 ,6.91 ,0.00 ,,
1,2 ,2,1.10 ,1013.3 ,1 ,0.00 ,0.00 ,NNW,44 ,0.00 ,0,5.2 ,-9.40 ,0.0018 ,1.2871 ,5.56 ,0.00 ,,
1,2 ,3,0.80 ,1013.7 ,0 ,0.00 ,0.00 ,NNW,46 ,0.00 ,0,6.7 ,-9.40 ,0.0018 ,1.2885 ,5.39 ,0.00 ,,
1,2 ,4,0.80 ,1013.7 ,0 ,0.00 ,0.00 ,NNW,51 ,0.00 ,0,5.3 ,-8.17 ,0.0020 ,1.2885 ,5.89 ,0.00 ,,
1,2 ,5,0.70 ,1013.8 ,0 ,0.00 ,0.00 ,NW,56 ,0.00 ,0,2.7 ,-6.93 ,0.0022 ,1.2890 ,6.25 ,0.00 ,,
1,2 ,6,0.80 ,1013.8 ,0 ,0.00 ,0.00 ,NNW,61 ,0.00 ,0,3.3 ,-5.70 ,0.0024 ,1.2885 ,6.89 ,0.00 ,,
1,2 ,7,0.80 ,1014.0 ,0 ,0.00 ,0.00 ,NNW,61 ,0.00 ,0,4.5 ,-5.60 ,0.0024 ,1.2885 ,6.86 ,0.00 ,,
1,2 ,8,0.90 ,1014.2 ,0 ,0.00 ,0.00 ,NW,60 ,0.00 ,0,4.2 ,-5.50 ,0.0024 ,1.2880 ,6.97 ,0.00 ,,
1,2 ,9,1.90 ,1014.4 ,0 ,0.00 ,0.00 ,W,60 ,94.44 ,0,2.8 ,-5.40 ,0.0026 ,1.2834 ,8.40 ,9.63 ,,
1,2 ,10,3.80 ,1014.2 ,0 ,0.00 ,0.00 ,W,56 ,233.33 ,0,0.7 ,-4.50 ,0.0028 ,1.2746 ,10.72 ,62.33 ,,
1,2 ,11,6.30 ,1013.9 ,0 ,0.00 ,0.00 ,W,51 ,363.89 ,0,1.3 ,-3.60 ,0.0030 ,1.2632 ,13.92 ,151.29 ,,
1,2 ,12,7.90 ,1013.7 ,0 ,0.00 ,0.00 ,WSW,47 ,447.22 ,0,5.0 ,-2.70 ,0.0031 ,1.2560 ,15.70 ,223.36 ,,
1,2 ,13,8.90 ,1013.0 ,0 ,0.00 ,0.00 ,SW,46 ,475.00 ,0,4.8 ,-2.27 ,0.0032 ,1.2515 ,17.02 ,260.08 ,,
1,2 ,14,10.00 ,1012.2 ,0 ,0.00 ,0.00 ,WSW,44 ,447.22 ,0,4.3 ,-1.83 ,0.0034 ,1.2466 ,18.50 ,259.11 ,,
1,2 ,15,10.40 ,1011.5 ,0 ,0.00 ,0.00 ,WSW,43 ,361.11 ,0,4.2 ,-1.40 ,0.0033 ,1.2449 ,18.87 ,214.61 ,,
1,2 ,16,9.80 ,1011.7 ,1 ,0.00 ,0.00 ,WSW,46 ,233.33 ,0,5.7 ,-1.67 ,0.0034 ,1.2475 ,18.44 ,143.35 ,,
1,2 ,17,8.70 ,1012.0 ,3 ,0.00 ,0.00 ,WSW,48 ,72.22 ,Ci,6.7 ,-1.93 ,0.0034 ,1.2524 ,17.18 ,47.55 ,,
1,2 ,18,7.40 ,1012.2 ,4 ,0.00 ,0.00 ,WSW,51 ,0.00 ,Ci,4.0 ,-2.20 ,0.0032 ,1.2582 ,15.58 ,0.00 ,,
1,2 ,19,6.80 ,1012.4 ,3 ,0.00 ,0.00 ,WSW,58 ,0.00 ,Ci,3.3 ,-0.90 ,0.0035 ,1.2609 ,15.72 ,0.00 ,,
1,2 ,20,6.40 ,1012.6 ,2 ,0.00 ,0.00 ,WSW,65 ,0.00 ,Ci,3.0 ,0.40 ,0.0039 ,1.2627 ,16.12 ,0.00 ,,
1,2 ,21,6.40 ,1012.8 ,1 ,0.00 ,0.00 ,W,72 ,0.00 ,Ci,3.5 ,1.70 ,0.0043 ,1.2627 ,17.17 ,0.00 ,,
1,2 ,22,6.30 ,1012.6 ,1 ,0.00 ,0.00 ,W,73 ,0.00 ,Ci,3.8 ,1.70 ,0.0043 ,1.2632 ,17.10 ,0.00 ,,
1,2 ,23,6.20 ,1012.4 ,1 ,0.00 ,0.00 ,W,73 ,0.00 ,Ci,4.5 ,1.70 ,0.0043 ,1.2636 ,17.02 ,0.00 ,,
1,2 ,24,6.00 ,1012.2 ,1 ,0.00 ,0.00 ,WSW,74 ,0.00 ,Ci,5.0 ,1.70 ,0.0043 ,1.2645 ,16.76 ,0.00 ,,
1,3 ,1,5.95 ,1011.9 ,2 ,0.00 ,0.00 ,WNW,74 ,0.00 ,AcCi,2.7 ,1.77 ,0.0043 ,1.2647 ,16.72 ,0.00 ,,
1,3 ,2,5.60 ,1011.6 ,3 ,0.00 ,0.00 ,WSW,75 ,0.00 ,Ci,4.3 ,1.83 ,0.0042 ,1.2663 ,16.16 ,0.00 ,,
1,3 ,3,5.90 ,1011.3 ,4 ,0.00 ,0.00 ,W,75 ,0.00 ,Ci,4.5 ,1.90 ,0.0043 ,1.2650 ,16.73 ,0.00 ,,
1,3 ,4,5.80 ,1010.9 ,5 ,0.00 ,0.00 ,WSW,73 ,0.00 ,Ci,2.7 ,1.47 ,0.0042 ,1.2654 ,16.32 ,0.00 ,,
1,3 ,5,6.00 ,1010.6 ,5 ,0.00 ,0.00 ,NW,72 ,0.00 ,Ci,2.5 ,1.03 ,0.0041 ,1.2645 ,16.42 ,0.00 ,,
1,3 ,6,5.80 ,1010.2 ,6 ,0.00 ,0.00 ,NW,70 ,0.00 ,Ci,1.0 ,0.60 ,0.0040 ,1.2654 ,15.84 ,0.00 ,,
1,3 ,7,6.20 ,1009.9 ,7 ,0.00 ,0.00 ,NNE,68 ,0.00 ,Ci,2.3 ,0.77 ,0.0040 ,1.2636 ,16.28 ,0.00 ,,
1,3 ,8,6.50 ,1009.6 ,9 ,0.00 ,0.00 ,N,67 ,0.00 ,As,1.7 ,0.93 ,0.0040 ,1.2622 ,16.54 ,0.00 ,,
1,3 ,9,7.10 ,1009.3 ,10 ,0.00 ,0.00 ,SSW,65 ,25.00 ,As,1.7 ,1.10 ,0.0040 ,1.2595 ,17.31 ,2.00 ,,
1,3 ,10,7.90 ,1008.9 ,9 ,0.00 ,0.00 ,WSW,63 ,86.11 ,As,0.8 ,1.50 ,0.0041 ,1.2560 ,18.31 ,6.89 ,,
1,3 ,11,8.00 ,1008.6 ,9 ,0.00 ,0.00 ,WNW,60 ,155.56 ,AcCi,3.3 ,1.90 ,0.0040 ,1.2555 ,18.09 ,12.81 ,,
1,3 ,12,10.20 ,1008.2 ,8 ,0.00 ,0.00 ,SW,58 ,297.22 ,AcCi,1.0 ,2.30 ,0.0045 ,1.2458 ,21.48 ,65.73 ,,
1,3 ,13,11.10 ,1007.9 ,5 ,0.00 ,0.00 ,WNW,53 ,363.89 ,AcCi,1.7 ,1.67 ,0.0044 ,1.2418 ,22.12 ,125.10 ,,
1,3 ,14,11.10 ,1007.6 ,3 ,0.00 ,0.00 ,W,49 ,305.56 ,0,2.7 ,1.03 ,0.0040 ,1.2418 ,21.16 ,90.70 ,,
1,3 ,15,12.40 ,1007.3 ,0 ,0.00 ,0.00 ,NW,44 ,338.89 ,0,1.7 ,0.40 ,0.0039 ,1.2362 ,22.32 ,184.87 ,,
