월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡)
1,1,1,1.68,1010.2,6,0.23,0.11,NW,69,0,0,3,-4.76,0.0029,1.2844,9.06,0
1,1,2,1.75,1009.5,6,0.2,0.13,WNW,72,0,ScNs,2.9,-4,0.0031,1.2841,9.52,0
1,1,3,1.83,1008.8,7,0.17,0.14,W,76,0,ScNs,2.8,-3.25,0.0033,1.2837,9.97,0
1,1,4,1.9,1008.1,8,0.13,0.15,NNE,79,0,ScNs,2.7,-2.49,0.0034,1.2834,10.44,0
1,1,5,1.98,1007.4,8,0.1,0.16,WSW,82,0,ScNs,2.6,-1.74,0.0036,1.283,10.9,0
1,1,6,2.05,1006.6,9,0.07,0.18,SW,85,0,ScNs,2.5,-0.98,0.0037,1.2827,11.37,0
1,1,7,2.13,1005.9,9,0.03,0.19,W,88,0,ScNs,2.4,-0.22,0.0039,1.2823,11.85,0
1,1,8,2.2,1005.2,10,0,0.2,WNW,91,0,ScNs,2.3,0.53,0.004,1.282,12.33,0
1,1,9,1.6,1005.7,10,0,0.3,WNW,93,20.55,ScNs,2.5,0.6,0.0039,1.2848,11.47,1.64
1,1,10,1.4,1005.7,10,0,0.27,WNW,93,2.78,ScNs,1.3,0.7,0.0039,1.2857,11.13,0.22
1,1,11,1.6,1005.6,10,0,0.23,W,93,19.44,StNs,1.3,0.8,0.0039,1.2848,11.47,1.56
1,1,12,1.9,1005.6,10,0,0.2,NW,93,36.11,StNs,4.3,0.9,0.004,1.2834,11.99,2.89
1,1,13,1.4,1005.3,10,0,0.13,WNW,85,44.44,StNs,1.8,-0.77,0.0035,1.2857,10.25,3.56
1,1,14,1.4,1004.9,10,0,0.07,WNW,76,63.89,StAs,5.3,-2.43,0.0032,1.2857,9.38,5.11
